Drink Volume,Drink Name,Attributes,Energy,Trans Fat,Protein,Total Fat,Saturated Fat,Cholesterol,Carbohydrate,Sugars,Dietary Fibre,Sodium,Calcium,Iron,Vitamin C,Vitamin B2,Potassium,Chloride,Phosphate,Monounsaturated Fat,Polyunsaturated Fat,Sugar,Tea Polyphenols,Total Sugar,Trans Fatty Acid,Total Sugars,Niacin,Vitamin A,Vitamin B1,Vitamin D,Vitamin E,Thiamine (Vitamin B1),Riboflavin (Vitamin B2),Vitamin B6,Folic Acid,Vitamin B12,Biotin,Pantothenic Acid,Zinc,Beta Carotene,Lactose,Fat,Tea Polyphenois,Added Sugars,Calories,Calories from Fat,Vitamin B3,Vitamin D3,Magnesium,Thiamine,Riboflavin,Niacin (B3),Riboflavin (Vit B2),Nicotinamide,Total Carbohydrate,Sucrose,Natrium / Sodium,Salt,Catechin (mg),Omega 6,Omega 3,Niacinamide,Vitamin,Per Serving,Carbohydrates,Fibre,Fiber,Glucose,Maltose,Dietary fibre,Phosphorus,Vitamin B,Macing,Fats,Total Carbohydrates,Phosphorous,Vitamin K,Choline,Manganese,Copper,Iodine,Total Fats,Added Sugar,Calorie,Serving Per,Saturated fat,Trans fat,Proteins,Bicarbonates,Sulphates,Chlorides,Silica,Nitrates,Flourides,Ion,Fluorides,Acai Extract,Blueberry Extract,Pomegranate Extract,Sulfates,pH Value,Total Dissolved Solids,ats,Serving Size: 4.5 tbsp,Servings per container,Saturated Fats,Vit D
20 x 30g,Ovaltine 3 in 1 Instant Malt Drink Sachets - Chocolate,Per Serving (30g),121kcal,,1.2g,1.9g,0g,,24.8g,,0.7g,,352.5mg,2.8mg,11.9mg,0.3mg,,,,,,,,,,,2.7mg,183.3mcg,0.2mg,0.5mcg,,,,0.3mg,67.7mcg,0.5mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml (CTN),Pokka Can Drink - Ice Lemon Tea ,Per Serving (300ml),120kcal,,0.0g,0.0g,0.0g,,30.3g,,,15mg,,,,,,,,,,,12mg,29.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 x 250ml,Uni-President Packet Drink - Papaya Milk,Per Serving (250g),148kcal,0.1g,3.8g,4.6g,3.2g,13mg,22.9g,,1.0g,119mg,145mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Allswell Bottle Drink - Plum,Per Serving (250ml),80kcal,0g,0g,0g,0g,0mg,21.3g,,0g,450mg,,,,,,,,,,,,,,20.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 300ml (CTN),Pokka Can Drink - Oolong Tea (No Sugar Added),Per Serving (300ml),0kcal,0g,0g,0g,0g,0mg,0g,0g,,15mg,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 375ml,Bundaberg Sparkling Fruit Bottle Drink - Blood Orange,Per Serving (375ml),735kJ,,< 1g,< 1g,< 1g,,43.2g,43.2g,,34mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Allswell Bottle Drink - Starfruit,Per Serving (250ml),,0g,0g,0g,0g,0mg,30g,30g,0g,155mg,0%,0%,5%,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,120kcal,0j\kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Natsbee Honey Lemon,Per Serving (250ml),95kcal,0g,0g,0g,0g,,23.8g,22.5g,,28mg,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,Pokka Packet Drink - Guava Juice,Per Serving (250g),120kcal,,0g,0g,,,30g,30g,,15mg,,,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820g,Ovaltine Instant Malt Drink Powder - Chocolate,Per Serving (30g),122kcal,,2g,3g,2g,,21g,14g,2g,,212mg,2.6mg,8.1mg,0.4mg,,,,,,,,,,,3.5mg,,0.2mg,0.5mg,,,,0.4mg,17.3mg,0.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,Ceres 100% Juice Blend Packet Drink - Mango,Per Serving (200ml),410kJ,0g,0g,0g,0g,,24g,24g,0g,5mg,,,90mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,Minute Maid Pulpy Bottle Juice Drink - Tropical,Per Serving (240ml),108kcal,,0g,0g,,,26.6g,23.3g,,22mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 10g,Nescafe Dolce Gusto Beverage Capsules - Cafe Au Lait Intenso,Per Serving (100g),336kcal,0.9g,19.4g,17.4g,10g,86.5mg,26g,25.7g,11.6g,365mg,,,,,,,,3.6g,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 16g,Nescafe Dolce Gusto Beverage Capsules - Chococino,Per Serving (100g),441kcal,0.61g,14.42g,15.99g,9.59g,59.66mg,55.62g,53.93g,4.62g,159.6mg,,,,,,,,3.68g,0.55g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 12g,Nescafe Dolce Gusto Beverage Capsules - Latte Macchiato,Per Serving (220ml),98kcal,0g,4.5g,4.5g,3g,17mg,9.6g,8.3g,0.5g,59.2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5L,F&N Seasons Bottle Drink - Ice Peach Tea,Per Serving (100ml),38kcal,,0.0g,,,,905g,,,,,,,,,,,,,,,,,9.5g,,,,,,,,,,,,,,,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480ml,Life Bottle Drink - Rock Sugar Starfruit Juice,Per Serving (240ml),113kcal,0g,0g,0g,0g,0mg,28.3g,23g,0g,302mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750g,Milo Instant Chocolate Malt Drink Powder with Milk - Ice Energy,Per Serving (26g),107kcal,,2.9g,2.4g,1.2g,,19.5g,13.6g,0.8g,52mg,150mg,,15.6mg,,,,,,,,,,,,,,,1.3mcg,,,,0.4mg,,0.7mg,,,,,,,,,,,,,,,,,0.3mg,6.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400g,Ovaltine Instant Malt Drink Powder - Chocolate,Per Serving (100g),399.41kcal,,9.47g,8.04g,,,72.3g,,3.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 375ml,"Bundaberg Sparkling Fruit Bottle Drink - Lemon,Lime&Bitters",Per Serving (375ml),735kJ,,< 1g,< 1g,< 1g,,43.2g,43.2g,,34mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1L,PomeFresh Juice Bottle Drink - Pomegranate,Per Serving (237ml),,0g,0g,0g,0g,0mg,,31g,0g,14mg,,,,,588mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,143kcal,,,,,,,,,,36g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Carrot Fruit Juice ,Per Serving (250g),103kcal,,0g,0g,,,25.8g,24.5g,,12.5mg,,,32.5mg,,,,,,,,,,,,,,,,6.3mg,,,,,,,,,3980mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Kiyo Kyoho Grape,Per Serving (100ml),43kcal,,0.0g,0.0g,0.0g,,10.8g,,,,,,15mg,,,,,,,,,10.7g,,,,63mcg,,,0.85mg,,,,,,,,,,,,,,,,1.35mg,0.21mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240ml,Nescafe Milk Coffee Can Drink - Mocha,Per Serving (240),173kJ,,1.4g,0.7g,,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8g,,,,,,,,,,,,,,,4.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 375ml,Bundaberg Bottle Drink - Ginger Beer Light,Per Serving (375ml),31kcal,,1g,1g,,,6.4g,4.5g,,42mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Pokka Packet Drink - Mixed Berries & Carrot Juice,Per Serving (250ml),108kcal,,0.0g,0.0g,0.0g,,26.8g,,,13mg,,,8mg,,,,,,,,,,,26.8g,,,,,6.3mg,,,,,,,,,1750mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 320ml,Pepsi Can Drink - No Calorie,Per Serving (100ml),0kcal,,0g,0g,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,Gold Kili Instant Ginger Drink - Lemon ,Per Serving (18g),73kcal,0g,0.1g,0.3g,0.2g,,7.4mg,16.1g,17.4g,0mg,0.1%,0.2%,0%,,1.4mg,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840ml,Sunquick Concentrate Drink - Tropical,Per Serving (100ml),137kcal,,0.0g,0.0g,0.0g,,7.6g,,,,,,9.0mg,,,,,,,,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 200ml,Fever-Tree Bottle - Tonic Water (Mediterranean),Per Serving,151kJ,,0g,0g,0g,,9g,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 300ml,Fuze Tea Flavoured Green Tea Can Drink - Jasmine,Per Serving (100ML),22kJ,,0g,0g,0g,0mg,5.5g,,0g,5mg,,,,,0g,,,,,5.5g,,,,,,,,,,,,0g,,0g,,,,,,,,,,,0g,,,,,,,,,,,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320ml,Sagiko Juice Can Drink - Calamansi,Per Serving (320ml),,0g,0g,0g,0g,,35g,34g,,5mg,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),100 Plus Isotonic Bottle Drink - Active,Per Serving (250ml),63kcal,,0.0g,0.0g,,,15.5g,,,113mg,,,,,,,,,,,,15.5g,,,,,,,,,,0.5mg,,0.5mcg,,,,,,,,,,,3.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473ml,Snapple Bottle Drink - Kiwi Strawberry,Per Serving (1 Bottle),0g,0g,0g,0g,0g,,46g,45g,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473ml,Snapple Bottle Drink - Grapeade,Per Serving (1 Bottle),0g,0g,0g,0g,0g,,46g,,,10mg,,,,,,,,,,46g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,Natur-A Organic Fortified Soy Beverage - Unsweetened,Per Serving (250ml),,0g,8g,3.5g,0.5g,0mg,4g,2g,1g,40mg,,,,,330mg,,,0.7g,2g,,,,,,,,,,,,,,,,,,,,,,,,80kcal,,,,,,,,,,,,,,,1.5g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 325ml (CTN),F&N Can Drink - Cheeky Cherryade,Per Serving (325ml),65kcal,,0.0g,0.0g,,,15.9g,15.9g,,26mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350g,Bonchoco Instant Hot Chocolate Drink,Per 100g,389 kcal,0g,8.7g,6.1g,5.1g,7mg,74.8g,69.3g,4.7g,408mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 140ml,YOU-C1000 Vitamin Bottle Drink - Apple,Per Serving (140ml),60kcal,,0.0g,0.0g,0.0g,,14.0g,,,45mg,,,,,,,,,,,,,,14.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0mg,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (CTN),Red Bull Energy Can Drink - Classic,Per Serving (250ml),166.8kcal,,1g,0g,,0mg,46.5g,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,Natur-A Organic Fortified Soy Beverage - Chocolate,Per Serving (250ml),,0g,7g,6g,1g,0mg,20g,19g,1g,140mg,,,,,380mg,,,2g,2.5g,,,,,,,,,,,,,,,,,,,,,,,,160kcal,,,,,,,,,,,,,,,2g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 250ML,Alchemy & Tonic Grapefruit & Thyme Tonic Water,Per Serving (),142kj,,0g,,,,7.5g,,,,,,,,,,,,,7.5g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 250ML,Alchemy & Tonic Hibiscus Pink Lemonade,Per Serving (),32kcal,,0g,,0g,,7.5g,,,4.99mg,,,,,,,,,,,,,,7.5g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,Natur-A Organic Fortified Soy Beverage - Vanilla,Per Serving (250ml),,0g,7g,5g,0.5g,0mg,13g,11g,1g,80mg,,,,,270mg,,,2g,2.5g,,,,,,,,,,,,,,,,,,,,,,,,130kcal,,,,,,,,,,,,,,,2g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Rude Health Ultimate Almond Drink,Per Serving (null),157kj,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2g,,,,,,,,,,,,,,,,0g,,,,,,,0.8g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),Fanta Bottle Drink - Strawberry,Per Serving (320ml),61kcal,,0g,,,,14.7g,,,10mg,,,,,,,,,,,,,,14.7g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Del Monte Four Seasons Juice Drink Tetra,Per Serving (),,,0g,,,0mg,,18g,,5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,70kcal,,,,,,,,,,,,,,,,,,,,19g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Rude Health Organic Brown Rice Drink,Per Serving (null),257kj,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,,,,,,,,0.1g,,,,,,,11.9g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 25g,MaxTea Instant Drink - Tarikk with Ginger,Per Serving (25g),105kcal,0g,0.9g,2.4g,2.1g,0mg,20.7g,13.5g,1g,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 200ml,Schweppes Carbonated Bottle Drink - Indian Tonic Water,Per Serving,42kcal,,0g,,,,9.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 500ml (CTN),Pokka Bottle Drink - Ice Lemon Tea,Per Serving (250ml),100kcal,,0.0g,0.0g,0.0g,,25.0g,,,13mg,,,,,,,,,,,10mg,24.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 500ml (CTN),Pokka Premium Bottle Drink - Milk Tea (Original),Per Serving (250ml),105kcal,0.0g,1.5g,1.8g,1.3g,,20.8g,19.0g,,53mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180g,Weider Multi Vitamin Jelly Packet Drink - Passion Fruit,Per Serving (180g),70kcal,,0g,0g,0g,,17.6g,15.5g,0g,70mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 240ML,Milo Activ-Go Original RTD - Can Drink 6pcs,Per Serving (100ml),54kcal,,2.0g,1.5g,,,8.0g,5g,,37mg,75mg,,,,,,,,,,,,,,,,,1.1mg,,,,0.2mg,,,,,,,2.2g,,,,,,,,,,,,,,,1.5g,,,,,,,,,,,,0.4g,0.9g,0.5g,53mg,0.2mg,1.4mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 500ml (CTN),Pokka Bottle Drink - Ice Peach Tea,Per Serving (250ml),100kcal,,0.0g,0.0g,0.0g,,25.0g,,,13mg,,,,,,,,,,,10mg,24.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),Coca-Cola Bottle Drink - Vanilla,Per Serving (100ml),44kcal,,0g,0g,,,11.1g,11.1g,,2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300 ML,Karma Drinks Organic Sparkling Blackcurrant,Per Serving (0.1g),120kj,,0.1g,,,,6.8g,6.1g,,0.6mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000 ML,Kirei Kochi Ice Sweetened Yuzu Drink Concentrate,Per Serving (100ml),,,0.2g,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5L (CTN),F&N Flavoured Bottle Drink - Sarsi,Per Serving (250ml),202kJ,,0g,0g,0g,,11.9g,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 250ML,Alchemy & Tonic Indian Tonic Water,Per Serving (),134kj,,0g,,,,7g,,,,,,,,,,,,,7g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Rude Health Barista Coconut Drink,Per Serving (100),225kj,,0.8g,,,,7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,0.9g,,,,,,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 x 250ml CTN),Vitasoy Soya Bean Packet Drink - Chocolate,Per Serving (250ml),,0g,3g,3.5g,1g,0mg,,22.0g,,130mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drink Almighty Sparkling Water - Peach and Ginger 330ML X 6,Per Serving (),16kj,,0g,0g,,,0g,0g,,69mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Rude Health Organic Soya Drink,Per Serving (null),165kj,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,0.05g,,,,,,,1.6g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 x 500ml (CTN),Wong Lo Kat Bottle Drink - Herbal Tea,Per Serving (100ml),141kJ,,Less than 1g,Less than 1g,Less than 1g,,,8.3g,,0mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Marks & Spencer Plant Kitchen Unsweetened Almond Drink,Per Serving (),14kcal,,0.5g,,0.21g,,0.8g,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,0.9g,,,,,,,,,,,,,,,,0.10g,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Marks & Spencer Plant Kitchen Coconut Drink,Per Serving (0.2g),119kj,,0.2g,,1.7g,,2.2g,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,,,,,1.9g,,,,,,,,,,,,,,,,0.08g,,,,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Rude Health Organic Oat Drink,Per Serving (null),181kj,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,0.1g,,,,,,,6.1g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 125ml,Nutricia Souvenaid Bottle Drink - Vanilla,Per Serving (125g),125kcal,,3.1g,5.4g,,,15.4g,,0.7g,125mg,100mg,2mg,80mg,,125mg,145mg,,,,,,,,,,200?g,,1?g,40mg,,,1mg,400?g,3?g,5?g,,1.5mg,,,,,,,,,,25mg,,,,,,,,,,,,1500mg,,,,,,,,,,,,,,,87.5mg,7.7?g,400mg,0.4mg,0.2mg,20?g,,,,,,,,,,,,,,,,,,,,,,,,,,
2 X 500ML,Hung Fook Tong Cha Dian Xia SCF and Honey Drink[Bundle of 2],Per Serving (100),,,0g,,,,,5.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 L,Marks & Spencer Apple & Rhubarb Juice Drink,Per Serving (),40kcal,,0.2g,,0.1g,,9.2g,,,,,,,,,,,,,9.2g,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,0.01g,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 X 250ML,Alchemy & Tonic Indian Tonic Water,Per Serving (),134kj,,0g,,,,7g,,,,,,,,,,,,,7g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 X 150ML,East Imperial Grapefruit Soda - Pack of 4 Bottles,Per Serving (),,,0g,,0g,,,,1g,1.75mg,,,,,,,,,,,,12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12g,,,,,,,0g,12g,59kcal,,,,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Organic Soya Drink,Per Serving (100),165kj,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2g,,,,,,,,,,,,,,,,0.05g,,,,,,,1.6g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 X 1L,Rude Health Organic Oat Drink,Per Serving (100),181kj,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,0.1g,,,,,,,6.1g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
