drink volume,drink name,attributes,energy,trans fat,protein,total fat,saturated fat,cholesterol,carbohydrate,sugars,dietary fibre,sodium,calcium,iron,vitamin c,vitamin b2,potassium,chloride,phosphate,monounsaturated fat,polyunsaturated fat,sugar,tea polyphenols,total sugar,trans fatty acid,total sugars,niacin,vitamin a,vitamin b1,vitamin d,vitamin e,thiamine (vitamin b1),riboflavin (vitamin b2),vitamin b6,folic acid,vitamin b12,biotin,pantothenic acid,zinc,beta carotene,lactose,fat,tea polyphenois,added sugars,calories,calories from fat,vitamin b3,vitamin d3,magnesium,thiamine,riboflavin,niacin (b3),riboflavin (vit b2),nicotinamide,total carbohydrate,sucrose,natrium / sodium,salt,catechin (mg),omega 6,omega 3,niacinamide,vitamin,per serving,carbohydrates,fibre,fiber,glucose,maltose,dietary fibre,phosphorus,vitamin b,macing,fats,total carbohydrates,phosphorous,vitamin k,choline,manganese,copper,iodine,total fats,added sugar,calorie,serving per,saturated fat,trans fat,proteins,bicarbonates,sulphates,chlorides,silica,nitrates,flourides,ion,fluorides,acai extract,blueberry extract,pomegranate extract,sulfates,ph value,total dissolved solids,ats,serving size: 4.5 tbsp,servings per container,saturated fats,vit d,catechin,antioxidant,theanine,water,ash,folate,asorbic acid,per serving size,salt equivalent,caffeine,total fat,dietry fibre,calories from fat,total energy,amount per,saturated fats,total carboyhdrate,dietary fiber,carbohyrate,anthocyanins,thiamin,saturates,includes added sugars,fat,sugars,saturates,fats,saturaed fat,total calories,dietary fiber,energy from fat,monounsaturated fatty acid,polyunsaturated fatty acid,saturated fatty acid,cholestrol,unsaturated fat,saturated,natrium,lipids,phosphrous,polyphenois,per,saturates fat,total carb,caffeine content,saturatedfat,of which saturated fats,of which sugars,fibres,total calorieso,calories from saturated fat,salt (sodium),serving,totalsugers,monosaturated fat,satutated fat,total dietary fiber,enery
1.5l,pokka natsbee bottle drink - honey yuzu,per serving (250ml),90kcal,,0.0g,0.0g,0.0g,,22.3g,,,33mg,,,6.3mg,,,,,,,,,20.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,coca-cola bottle drink - vanilla,per serving (100ml),19kcal,,0g,0g,,,4.6g,4.6g,,2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,yeo's packet drink - black soy milk,per serving (100ml),50kcal,0g,2.2g,1.3g,0g,,7.4g,7.1g,,33mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,pokka bottle drink - natsbee honey lemon ,per serving (100ml),34kcal,,0g,0g,0g,,8.6g,,,11mg,,,3mg,,,,,,,,,8.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,f&n flavoured bottle drink - outrageous orange,per serving (250ml),50kcal,,0g,0g,,,12.3g,,,13mg,,,,,,,,,,,,12.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 40g,lao qian instant drink - milk tea ,per serving (40g),193.2kcal,0.1g,1g,8.0g,6.2g,,29.6g,20.0g,,98mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 12.5g,nescafe dolce gusto beverage capsules - cappuccino,per serving (240ml),110kcal,0.1g,4.8g,4.5g,2.8g,15.2mg,12.2g,11.7g,0.5g,62mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,f&n flavoured bottle drink - groovy grape,per serving (250ml),185kj,,0g,0g,0g,,10.9g,0g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 10g,nescafe dolce gusto beverage capsules - grande intenso,per serving (10g),2kcal,0g,0.1g,0g,0g,,0g,0.2g,0g,3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 240ml,pokka coffee can drink - milk coffee (less sugar),per serving,106kcal,,2.4g,,,,22.1g,19.4g,,86mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 30g,ovaltine 3 in 1 instant malt drink sachets - chocolate,per serving (30g),121kcal,,1.2g,1.9g,0g,,24.8g,,0.7g,,352.5mg,2.8mg,11.9mg,0.3mg,,,,,,,,,,,2.7mg,183.3mcg,0.2mg,0.5mcg,,,,0.3mg,67.7mcg,0.5mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 300ml (ctn),pokka can drink - ice lemon tea ,per serving (300ml),120kcal,,0.0g,0.0g,0.0g,,30.3g,,,15mg,,,,,,,,,,,12mg,29.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 x 250ml,uni-president packet drink - papaya milk,per serving (250g),148kcal,0.1g,3.8g,4.6g,3.2g,13mg,22.9g,,1.0g,119mg,145mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,allswell bottle drink - plum,per serving (250ml),80kcal,0g,0g,0g,0g,0mg,21.3g,,0g,450mg,,,,,,,,,,,,,,20.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 300ml (ctn),pokka can drink - oolong tea (no sugar added),per serving (300ml),0kcal,0g,0g,0g,0g,0mg,0g,0g,,15mg,,,,,,,,,,,120mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 375ml,bundaberg sparkling fruit bottle drink - blood orange,per serving (375ml),735kj,,< 1g,< 1g,< 1g,,43.2g,43.2g,,34mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,allswell bottle drink - starfruit,per serving (250ml),,0g,0g,0g,0g,0mg,30g,30g,0g,155mg,0%,0%,5%,,,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,120kcal,0j\kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (ctn),pokka packet drink - natsbee honey lemon,per serving (250ml),95kcal,0g,0g,0g,0g,,23.8g,22.5g,,28mg,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 250ml,pokka packet drink - guava juice,per serving (250g),120kcal,,0g,0g,,,30g,30g,,15mg,,,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820g,ovaltine instant malt drink powder - chocolate,per serving (30g),122kcal,,2g,3g,2g,,21g,14g,2g,,212mg,2.6mg,8.1mg,0.4mg,,,,,,,,,,,3.5mg,,0.2mg,0.5mg,,,,0.4mg,17.3mg,0.3mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,ceres 100% juice blend packet drink - mango,per serving (200ml),410kj,0g,0g,0g,0g,,24g,24g,0g,5mg,,,90mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,minute maid pulpy bottle juice drink - tropical,per serving (240ml),108kcal,,0g,0g,,,26.6g,23.3g,,22mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 10g,nescafe dolce gusto beverage capsules - cafe au lait intenso,per serving (100g),336kcal,0.9g,19.4g,17.4g,10g,86.5mg,26g,25.7g,11.6g,365mg,,,,,,,,3.6g,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 16g,nescafe dolce gusto beverage capsules - chococino,per serving (100g),441kcal,0.61g,14.42g,15.99g,9.59g,59.66mg,55.62g,53.93g,4.62g,159.6mg,,,,,,,,3.68g,0.55g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 x 12g,nescafe dolce gusto beverage capsules - latte macchiato,per serving (220ml),98kcal,0g,4.5g,4.5g,3g,17mg,9.6g,8.3g,0.5g,59.2mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5l,f&n seasons bottle drink - ice peach tea,per serving (100ml),38kcal,,0.0g,,,,905g,,,,,,,,,,,,,,,,,9.5g,,,,,,,,,,,,,,,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480ml,life bottle drink - rock sugar starfruit juice,per serving (240ml),113kcal,0g,0g,0g,0g,0mg,28.3g,23g,0g,302mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750g,milo instant chocolate malt drink powder with milk - ice energy,per serving (26g),107kcal,,2.9g,2.4g,1.2g,,19.5g,13.6g,0.8g,52mg,150mg,,15.6mg,,,,,,,,,,,,,,,1.3mcg,,,,0.4mg,,0.7mg,,,,,,,,,,,,,,,,,0.3mg,6.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 375ml,"bundaberg sparkling fruit bottle drink - lemon,lime&bitters",per serving (375ml),735kj,,< 1g,< 1g,< 1g,,43.2g,43.2g,,34mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1l,pomefresh juice bottle drink - pomegranate,per serving (237ml),,0g,0g,0g,0g,0mg,,31g,0g,14mg,,,,,588mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,143kcal,,,,,,,,,,36g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (ctn),pokka packet drink - carrot fruit juice ,per serving (250g),103kcal,,0g,0g,,,25.8g,24.5g,,12.5mg,,,32.5mg,,,,,,,,,,,,,,,,6.3mg,,,,,,,,,3980mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (ctn),pokka packet drink - kiyo kyoho grape,per serving (100ml),43kcal,,0.0g,0.0g,0.0g,,10.8g,,,,,,15mg,,,,,,,,,10.7g,,,,63mcg,,,0.85mg,,,,,,,,,,,,,,,,1.35mg,0.21mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240ml,nescafe milk coffee can drink - mocha,per serving (240),173kj,,1.4g,0.7g,,,7.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8g,,,,,,,,,,,,,,,4.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 375ml,bundaberg bottle drink - ginger beer light,per serving (375ml),31kcal,,1g,1g,,,6.4g,4.5g,,42mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (ctn),pokka packet drink - mixed berries & carrot juice,per serving (250ml),108kcal,,0.0g,0.0g,0.0g,,26.8g,,,13mg,,,8mg,,,,,,,,,,,26.8g,,,,,6.3mg,,,,,,,,,1750mcg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 320ml,pepsi can drink - no calorie,per serving (100ml),0kcal,,0g,0g,,,0g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 x 18g,gold kili instant ginger drink - lemon ,per serving (18g),73kcal,0g,0.1g,0.3g,0.2g,,7.4mg,16.1g,17.4g,0mg,0.1%,0.2%,0%,,1.4mg,,,,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840ml,sunquick concentrate drink - tropical,per serving (100ml),137kcal,,0.0g,0.0g,0.0g,,7.6g,,,,,,9.0mg,,,,,,,,,7.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 200ml,fever-tree bottle - tonic water (mediterranean),per serving,151kj,,0g,0g,0g,,9g,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 300ml,fuze tea flavoured green tea can drink - jasmine,per serving (100ml),22kj,,0g,0g,0g,0mg,5.5g,,0g,5mg,,,,,0g,,,,,5.5g,,,,,,,,,,,,0g,,0g,,,,,,,,,,,0g,,,,,,,,,,,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320ml,sagiko juice can drink - calamansi,per serving (320ml),,0g,0g,0g,0g,,35g,34g,,5mg,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),100 plus isotonic bottle drink - active,per serving (250ml),63kcal,,0.0g,0.0g,,,15.5g,,,113mg,,,,,,,,,,,,15.5g,,,,,,,,,,0.5mg,,0.5mcg,,,,,,,,,,,3.5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473ml,snapple bottle drink - kiwi strawberry,per serving (1 bottle),0g,0g,0g,0g,0g,,46g,45g,,15mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473ml,snapple bottle drink - grapeade,per serving (1 bottle),0g,0g,0g,0g,0g,,46g,,,10mg,,,,,,,,,,46g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,natur-a organic fortified soy beverage - unsweetened,per serving (250ml),,0g,8g,3.5g,0.5g,0mg,4g,2g,1g,40mg,,,,,330mg,,,0.7g,2g,,,,,,,,,,,,,,,,,,,,,,,,80kcal,,,,,,,,,,,,,,,1.5g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 325ml (ctn),f&n can drink - cheeky cherryade,per serving (325ml),65kcal,,0.0g,0.0g,,,15.9g,15.9g,,26mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350g,bonchoco instant hot chocolate drink,per 100g,389 kcal,0g,8.7g,6.1g,5.1g,7mg,74.8g,69.3g,4.7g,408mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 x 140ml,you-c1000 vitamin bottle drink - apple,per serving (140ml),60kcal,,0.0g,0.0g,0.0g,,14.0g,,,45mg,,,,,,,,,,,,,,14.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0mg,1000mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 x 250ml (ctn),red bull energy can drink - classic,per serving (250ml),166.8kcal,,1g,0g,,0mg,46.5g,40g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,natur-a organic fortified soy beverage - chocolate,per serving (250ml),,0g,7g,6g,1g,0mg,20g,19g,1g,140mg,,,,,380mg,,,2g,2.5g,,,,,,,,,,,,,,,,,,,,,,,,160kcal,,,,,,,,,,,,,,,2g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 250ml,alchemy & tonic grapefruit & thyme tonic water,per serving (),142kj,,0g,,,,7.5g,,,,,,,,,,,,,7.5g,,,,,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 x 250ml,alchemy & tonic hibiscus pink lemonade,per serving (),32kcal,,0g,,0g,,7.5g,,,4.99mg,,,,,,,,,,,,,,7.5g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,100ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946ml,natur-a organic fortified soy beverage - vanilla,per serving (250ml),,0g,7g,5g,0.5g,0mg,13g,11g,1g,80mg,,,,,270mg,,,2g,2.5g,,,,,,,,,,,,,,,,,,,,,,,,130kcal,,,,,,,,,,,,,,,2g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,rude health ultimate almond drink,per serving (null),157kj,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2g,,,,,,,,,,,,,,,,0g,,,,,,,0.8g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 x 1.5l (ctn),fanta bottle drink - strawberry,per serving (320ml),61kcal,,0g,,,,14.7g,,,10mg,,,,,,,,,,,,,,14.7g,,,,,,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,del monte four seasons juice drink tetra,per serving (),,,0g,,,0mg,,18g,,5mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0g,,,70kcal,,,,,,,,,,,,,,,,,,,,19g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 l,rude health organic brown rice drink,per serving (null),257kj,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,,,,,,,,0.1g,,,,,,,11.9g,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
